# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       8.915532154342e+07       9.509019355491e-14       5.198625271078e-03       1.714995242589e+10       1.417042414671e+04       1.589408656988e-04       1.263368735377e+12       3.001422048428e-03       1.738473896278e+20       1.745733867029e+15       9.517167016728e+15       3.404911261107e-08       1.202622156815e+20       2.941208682102e+20       6.756374430563e-06       1.999973194384e+00 
       8.853557248748e+07       9.642610715812e-14       5.235015300059e-03       1.691235306032e+10       1.417042411032e+04       1.600534514222e-04       1.254586625168e+12       3.022431761794e-03       1.690636694784e+20       1.709580773584e+15       9.320072239004e+15       3.404911261107e-08       1.169529869056e+20       2.860276860370e+20       6.851293455749e-06       1.999973006751e+00 
       8.792013151832e+07       9.778078883125e-14       5.271660053040e-03       1.667804546628e+10       1.417042407367e+04       1.611738252410e-04       1.245865562398e+12       3.043588539769e-03       1.644115818955e+20       1.674176388841e+15       9.127059174935e+15       3.404911261107e-08       1.137348174441e+20       2.781572005752e+20       6.947545971269e-06       1.999972817804e+00 
       8.730896868897e+07       9.915450224309e-14       5.308561316269e-03       1.644698403848e+10       1.417042403677e+04       1.623020416717e-04       1.237205122706e+12       3.064893411757e-03       1.598875047752e+20       1.639505207495e+15       8.938043294699e+15       3.404911261107e-08       1.106052016382e+20       2.705032839619e+20       7.045150710757e-06       1.999972627534e+00 
       8.670205426061e+07       1.005475147666e-13       5.345720881451e-03       1.621912380347e+10       1.417042399961e+04       1.634381556125e-04       1.228604884681e+12       3.086347414367e-03       1.554879156819e+20       1.605552045348e+15       8.752941819037e+15       3.404911261107e-08       1.075617027764e+20       2.630599769523e+20       7.144126671022e-06       1.999972435933e+00 
       8.609935870117e+07       1.019600975312e-13       5.383140558479e-03       1.599442041089e+10       1.417042396219e+04       1.645822223461e-04       1.220064429839e+12       3.107951591466e-03       1.512093891063e+20       1.572302032656e+15       8.571673683000e+15       3.404911261107e-08       1.046019511981e+20       2.558214842802e+20       7.244493115750e-06       1.999972242991e+00 
       8.550085268385e+07       1.033925254749e-13       5.420822169981e-03       1.577283012480e+10       1.417042392451e+04       1.657342975417e-04       1.211583342608e+12       3.129706994225e-03       1.470485937979e+20       1.539740607621e+15       8.394159500444e+15       3.404911261107e-08       1.017236424478e+20       2.487821701458e+20       7.346269579247e-06       1.999972048698e+00 
       8.490650708572e+07       1.048450773986e-13       5.458767545861e-03       1.555430981522e+10       1.417042388656e+04       1.668944372587e-04       1.203161210303e+12       3.151614681173e-03       1.430022901716e+20       1.507853510007e+15       8.220321529262e+15       3.404911261107e-08       9.892453548127e+19       2.419365538279e+20       7.449475870245e-06       1.999971853045e+00 
       8.431629298628e+07       1.063180360199e-13       5.496978534211e-03       1.533881694969e+10       1.417042384835e+04       1.680626979485e-04       1.194797623108e+12       3.173675718249e-03       1.390673277852e+20       1.476626774903e+15       8.050083637342e+15       3.404911261107e-08       9.620245092062e+19       2.352793054162e+20       7.554132075755e-06       1.999971656023e+00 
       8.373018166609e+07       1.078116880281e-13       5.535456994039e-03       1.512630958502e+10       1.417042380988e+04       1.692391364579e-04       1.186492174057e+12       3.195891178851e-03       1.352406428865e+20       1.446046726599e+15       7.883371269220e+15       3.404911261107e-08       9.355526935742e+19       2.288052416619e+20       7.660258564979e-06       1.999971457621e+00 
