# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=4
# for k=1.04437e-05 to 8.47366 h/Mpc,
# number of wavenumbers equal to 612
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       9.118959519597e-03      -2.023756467312e+00      -1.539023132687e+02      -1.542446699163e+02      -1.942980988588e+00      -2.400524890574e+01      -1.534641093415e+02       4.778791993378e-01       4.778781090166e-01 
       9.246407636696e-03      -2.016267514482e+00      -1.576302183705e+02      -1.579899703190e+02      -1.930444763612e+00      -2.382027012619e+01      -1.571854930234e+02       4.761488204104e-01       4.761477821641e-01 
       9.373908646961e-03      -1.993482085248e+00      -1.613894126336e+02      -1.617671910305e+02      -1.909412040030e+00      -2.363880449793e+01      -1.609385285851e+02       4.744237100175e-01       4.744227915394e-01 
       9.501461158736e-03      -1.961326255304e+00      -1.651792588375e+02      -1.655757460059e+02      -1.885995289001e+00      -2.346526547119e+01      -1.647226504924e+02       4.727036257518e-01       4.727028621128e-01 
       9.629063868741e-03      -1.921402773210e+00      -1.689992759642e+02      -1.694151504784e+02      -1.860575416699e+00      -2.330397024649e+01      -1.685373985380e+02       4.709888267905e-01       4.709882498984e-01 
       9.756715556949e-03      -1.914312776806e+00      -1.728489953432e+02      -1.732849978741e+02      -1.866154388862e+00      -2.315927772178e+01      -1.723824135347e+02       4.692788473859e-01       4.692782697785e-01 
       9.884415081846e-03      -1.919210357079e+00      -1.767280318037e+02      -1.771848328665e+02      -1.873034869185e+00      -2.303498017025e+01      -1.762572532945e+02       4.675745704683e-01       4.675739476147e-01 
       1.001216137605e-02      -1.908635309218e+00      -1.806354793926e+02      -1.811137989310e+02      -1.862688073562e+00      -2.293448996196e+01      -1.801610494384e+02       4.658754995083e-01       4.658749282490e-01 
       1.013995344226e-02      -1.902582929477e+00      -1.845710593950e+02      -1.850716540916e+02      -1.856690875798e+00      -2.286117243156e+01      -1.840935888310e+02       4.641815494061e-01       4.641809984811e-01 
       1.026779034945e-02      -1.895696422728e+00      -1.885345419361e+02      -1.890581104473e+02      -1.849973704491e+00      -2.281767331943e+01      -1.880546013552e+02       4.624934261227e-01       4.624928975701e-01 
