# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=2
# for k=1.05328e-05 to 7.02536 h/Mpc,
# number of wavenumbers equal to 695
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       8.746607559999e-03      -1.948127796200e+00      -2.317860114283e+02      -2.320683463674e+02      -1.924462958182e+00      -2.318225892379e+02       4.811157397773e-01       4.811157397773e-01 
       8.875221842891e-03      -1.941202797875e+00      -2.377684652734e+02      -2.380660569426e+02      -1.917622114450e+00      -2.378126655976e+02       4.794055285406e-01       4.794055285406e-01 
       9.003894579849e-03      -1.934300056536e+00      -2.438067648622e+02      -2.441201688429e+02      -1.910803235739e+00      -2.438590077526e+02       4.777008089295e-01       4.777008089295e-01 
       9.132624026991e-03      -1.927410468527e+00      -2.498990941928e+02      -2.502289379818e+02      -1.903997363559e+00      -2.499598619935e+02       4.759993408894e-01       4.759993408894e-01 
       9.261408550524e-03      -1.920536494808e+00      -2.560447964324e+02      -2.563917232564e+02      -1.897206917380e+00      -2.561145853517e+02       4.743017293450e-01       4.743017293450e-01 
       9.390246619949e-03      -1.913683848985e+00      -2.622437813693e+02      -2.626083845794e+02      -1.890437532823e+00      -2.623230455916e+02       4.726093832058e-01       4.726093832058e-01 
       9.519136801783e-03      -1.906849585625e+00      -2.684947266578e+02      -2.688776882670e+02      -1.883686299637e+00      -2.685839963781e+02       4.709215749093e-01       4.709215749093e-01 
       9.648077753772e-03      -1.900031679406e+00      -2.747965887434e+02      -2.751985723465e+02      -1.876951236232e+00      -2.748963795212e+02       4.692378090581e-01       4.692378090581e-01 
       9.777068219540e-03      -1.893231310679e+00      -2.811486367873e+02      -2.815703360454e+02      -1.870233497301e+00      -2.812594902088e+02       4.675583743254e-01       4.675583743254e-01 
       9.906107023647e-03      -1.886448267931e+00      -2.875499890361e+02      -2.879921223187e+02      -1.863532871429e+00      -2.876724683226e+02       4.658832178572e-01       4.658832178572e-01 
