# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4000,
# i.e. number of multipoles equal to 3999
#  l TT               EE               TE               BB               phiphi           Tphi             
 103 3.7687849933e-10 1.0920351006e-13 -3.3898173634e-12 0.0000000000e+00 1.0012912638e-11 -1.4269381759e-12
 104 3.8128621834e-10 1.1114165971e-13 -3.4793015730e-12 0.0000000000e+00 9.7628515564e-12 -1.3978635766e-12
 105 3.8571991227e-10 1.1305776460e-13 -3.5692699868e-12 0.0000000000e+00 9.5207568064e-12 -1.3696088992e-12
 106 3.9017901815e-10 1.1495380217e-13 -3.6603663374e-12 0.0000000000e+00 9.2863039632e-12 -1.3424487700e-12
 107 3.9466278466e-10 1.1682101113e-13 -3.7512842514e-12 0.0000000000e+00 9.0592129880e-12 -1.3161365900e-12
 108 3.9917037080e-10 1.1865005065e-13 -3.8406087997e-12 0.0000000000e+00 8.8391889972e-12 -1.2903685508e-12
 109 4.0370107699e-10 1.2044230212e-13 -3.9288553287e-12 0.0000000000e+00 8.6259765906e-12 -1.2652388427e-12
 110 4.0825417267e-10 1.2220089047e-13 -4.0168512578e-12 0.0000000000e+00 8.4193071715e-12 -1.2409037434e-12
 111 4.1282891166e-10 1.2392366963e-13 -4.1044674851e-12 0.0000000000e+00 8.2189474644e-12 -1.2173282216e-12
 112 4.1742447781e-10 1.2560743598e-13 -4.1913811539e-12 0.0000000000e+00 8.0246524100e-12 -1.1944149508e-12
 113 4.2204003897e-10 1.2725053156e-13 -4.2775439623e-12 0.0000000000e+00 7.8362083355e-12 -1.1720375446e-12
 114 4.2667472253e-10 1.2885165349e-13 -4.3629631729e-12 0.0000000000e+00 7.6533914011e-12 -1.1501172625e-12
 115 4.3132775493e-10 1.3040921574e-13 -4.4475676955e-12 0.0000000000e+00 7.4760076012e-12 -1.1288321873e-12
 116 4.3599831084e-10 1.3192159304e-13 -4.5312654716e-12 0.0000000000e+00 7.3038526689e-12 -1.1083414851e-12
 117 4.4068546220e-10 1.3338727016e-13 -4.6139653981e-12 0.0000000000e+00 7.1367421060e-12 -1.0884229391e-12
 118 4.4538821346e-10 1.3480476849e-13 -4.6955789705e-12 0.0000000000e+00 6.9744855176e-12 -1.0688170703e-12
 119 4.5010563002e-10 1.3617258776e-13 -4.7760305388e-12 0.0000000000e+00 6.8169326000e-12 -1.0495724138e-12
 120 4.5483671773e-10 1.3748924050e-13 -4.8552477247e-12 0.0000000000e+00 6.6639168150e-12 -1.0308217525e-12
 121 4.5958041136e-10 1.3875325110e-13 -4.9331563855e-12 0.0000000000e+00 6.5152560705e-12 -1.0126680442e-12
 122 4.6433567327e-10 1.3996311385e-13 -5.0096752910e-12 0.0000000000e+00 6.3708174938e-12 -9.9507180174e-13
 123 4.6910140077e-10 1.4111733229e-13 -5.0847208837e-12 0.0000000000e+00 6.2304583967e-12 -9.7795069766e-13
 124 4.7387644080e-10 1.4221448754e-13 -5.1582137862e-12 0.0000000000e+00 6.0940221994e-12 -9.6122625480e-13
 125 4.7865974018e-10 1.4325340828e-13 -5.2300939507e-12 0.0000000000e+00 5.9613909564e-12 -9.4486142274e-13
 126 4.8345020750e-10 1.4423302231e-13 -5.3003072792e-12 0.0000000000e+00 5.8324373080e-12 -9.2882694404e-13
 127 4.8824670716e-10 1.4515233546e-13 -5.3687968501e-12 0.0000000000e+00 5.7070222211e-12 -9.1310541959e-13
 128 4.9304819317e-10 1.4601052539e-13 -5.4354900072e-12 0.0000000000e+00 5.5850409741e-12 -8.9774075326e-13
 129 4.9785358592e-10 1.4680686114e-13 -5.5003099317e-12 0.0000000000e+00 5.4663810271e-12 -8.8279405519e-13
 130 5.0266173379e-10 1.4754063413e-13 -5.5631803753e-12 0.0000000000e+00 5.3509197823e-12 -8.6830445403e-13
 131 5.0747142919e-10 1.4821102830e-13 -5.6240278400e-12 0.0000000000e+00 5.2385639796e-12 -8.5421462574e-13
 132 5.1228139050e-10 1.4881723907e-13 -5.6827796846e-12 0.0000000000e+00 5.1292135265e-12 -8.4043715466e-13
 133 5.1709029613e-10 1.4935855071e-13 -5.7393662892e-12 0.0000000000e+00 5.0227597052e-12 -8.2689745338e-13
 134 5.2189691250e-10 1.4983444732e-13 -5.7937298325e-12 0.0000000000e+00 4.9191193214e-12 -8.1359584038e-13
 135 5.2669997606e-10 1.5024451648e-13 -5.8458165103e-12 0.0000000000e+00 4.8182032949e-12 -8.0055182253e-13
 136 5.3149818215e-10 1.5058839868e-13 -5.8955655401e-12 0.0000000000e+00 4.7199151121e-12 -7.8778728727e-13
 137 5.3629027951e-10 1.5086573225e-13 -5.9428832549e-12 0.0000000000e+00 4.6241804429e-12 -7.7533445732e-13
 138 5.4107498251e-10 1.5107620588e-13 -5.9876663896e-12 0.0000000000e+00 4.5309198507e-12 -7.6322874118e-13
 139 5.4585097728e-10 1.5121967971e-13 -6.0298398333e-12 0.0000000000e+00 4.4400474489e-12 -7.5148388688e-13
 140 5.5061703741e-10 1.5129650446e-13 -6.0694490640e-12 0.0000000000e+00 4.3514965737e-12 -7.4002231045e-13
 141 5.5537191733e-10 1.5130723799e-13 -6.1065771804e-12 0.0000000000e+00 4.2651960860e-12 -7.2873762915e-13
 142 5.6011432393e-10 1.5125232104e-13 -6.1412545949e-12 0.0000000000e+00 4.1810692870e-12 -7.1755182085e-13
 143 5.6484294460e-10 1.5113137139e-13 -6.1732672989e-12 0.0000000000e+00 4.0990564283e-12 -7.0652579318e-13
 144 5.6955641966e-10 1.5094382298e-13 -6.2023296859e-12 0.0000000000e+00 4.0190939017e-12 -6.9575965730e-13
 145 5.7425335435e-10 1.5068938814e-13 -6.2282091322e-12 0.0000000000e+00 3.9411132355e-12 -6.8532892942e-13
 146 5.7893238694e-10 1.5036880565e-13 -6.2509274551e-12 0.0000000000e+00 3.8650606519e-12 -6.7519347809e-13
 147 5.8359212508e-10 1.4998316784e-13 -6.2705789207e-12 0.0000000000e+00 3.7908789551e-12 -6.6527976000e-13
 148 5.8823114937e-10 1.4953360587e-13 -6.2872346559e-12 0.0000000000e+00 3.7185067240e-12 -6.5552262110e-13
 149 5.9284809410e-10 1.4902103280e-13 -6.3008411671e-12 0.0000000000e+00 3.6478955135e-12 -6.4590683773e-13
 150 5.9744157231e-10 1.4844637996e-13 -6.3113123801e-12 0.0000000000e+00 3.5789939020e-12 -6.3642940672e-13
 151 6.0201017727e-10 1.4781066754e-13 -6.3185700761e-12 0.0000000000e+00 3.5117468202e-12 -6.2709592763e-13
 152 6.0655256864e-10 1.4711496844e-13 -6.3225706025e-12 0.0000000000e+00 3.4461107942e-12 -6.1794989781e-13
 153 6.1106739270e-10 1.4636044440e-13 -6.3232806946e-12 0.0000000000e+00 3.3820397918e-12 -6.0904615161e-13
 154 6.1555329453e-10 1.4554838288e-13 -6.3206671730e-12 0.0000000000e+00 3.3194843555e-12 -6.0041951610e-13
 155 6.2000904194e-10 1.4468027113e-13 -6.3146908517e-12 0.0000000000e+00 3.2584042609e-12 -5.9201598424e-13
 156 6.2443341154e-10 1.4375773225e-13 -6.3053121573e-12 0.0000000000e+00 3.1987567294e-12 -5.8375521379e-13
 157 6.2882511643e-10 1.4278247012e-13 -6.2924931874e-12 0.0000000000e+00 3.1404967486e-12 -5.7557066300e-13
 158 6.3318270435e-10 1.4175616541e-13 -6.2761980385e-12 0.0000000000e+00 3.0835908357e-12 -5.6746721560e-13
 159 6.3750464919e-10 1.4068057352e-13 -6.2563925815e-12 0.0000000000e+00 3.0280042634e-12 -5.5946864752e-13
 160 6.4178938201e-10 1.3955755957e-13 -6.2330444099e-12 0.0000000000e+00 2.9736965745e-12 -5.5159950170e-13
 161 6.4603538284e-10 1.3838910401e-13 -6.2061232782e-12 0.0000000000e+00 2.9206259449e-12 -5.4388070327e-13
 162 6.5024146637e-10 1.3717731656e-13 -6.1756023803e-12 0.0000000000e+00 2.8687629478e-12 -5.3631595110e-13
 163 6.5440652022e-10 1.3592442665e-13 -6.1414572589e-12 0.0000000000e+00 2.8180777895e-12 -5.2890413397e-13
 164 6.5852941450e-10 1.3463278121e-13 -6.1036654568e-12 0.0000000000e+00 2.7685358447e-12 -5.2164360447e-13
 165 6.6260895893e-10 1.3330483035e-13 -6.0622064943e-12 0.0000000000e+00 2.7201012127e-12 -5.1453220319e-13
 166 6.6664377058e-10 1.3194307948e-13 -6.0170617155e-12 0.0000000000e+00 2.6727479337e-12 -5.0756735742e-13
 167 6.7063239411e-10 1.3055013626e-13 -5.9682145071e-12 0.0000000000e+00 2.6264495623e-12 -5.0074596904e-13
 168 6.7457334280e-10 1.2912872772e-13 -5.9156503997e-12 0.0000000000e+00 2.5811755224e-12 -4.9406436855e-13
 169 6.7846517385e-10 1.2768168758e-13 -5.8593562866e-12 0.0000000000e+00 2.5368941982e-12 -4.8751682600e-13
 170 6.8230672213e-10 1.2621191352e-13 -5.7993179219e-12 0.0000000000e+00 2.4935826671e-12 -4.8109096688e-13
 171 6.8609688530e-10 1.2472240935e-13 -5.7355222876e-12 0.0000000000e+00 2.4512176387e-12 -4.7477194617e-13
 172 6.8983454971e-10 1.2321630048e-13 -5.6679584336e-12 0.0000000000e+00 2.4097722911e-12 -4.6854387388e-13
 173 6.9351856875e-10 1.2169683426e-13 -5.5966221634e-12 0.0000000000e+00 2.3692189130e-12 -4.6239263668e-13
 174 6.9714769650e-10 1.2016737758e-13 -5.5215304474e-12 0.0000000000e+00 2.3295372115e-12 -4.5631466032e-13
 175 7.0072064829e-10 1.1863142201e-13 -5.4427082744e-12 0.0000000000e+00 2.2907065646e-12 -4.5030883943e-13
 176 7.0423612140e-10 1.1709258654e-13 -5.3601841647e-12 0.0000000000e+00 2.2527033186e-12 -4.4437375736e-13
 177 7.0769284410e-10 1.1555452671e-13 -5.2739778767e-12 0.0000000000e+00 2.2155030650e-12 -4.3851008616e-13
 178 7.1108972778e-10 1.1402065078e-13 -5.1840622976e-12 0.0000000000e+00 2.1790877920e-12 -4.3272801643e-13
 179 7.1442572665e-10 1.1249438351e-13 -5.0903985727e-12 0.0000000000e+00 2.1434392050e-12 -4.2704041747e-13
 180 7.1769978951e-10 1.1097925767e-13 -4.9929481863e-12 0.0000000000e+00 2.1085363989e-12 -4.2146048799e-13
 181 7.2091085344e-10 1.0947894925e-13 -4.8916857573e-12 0.0000000000e+00 2.0743578289e-12 -4.1599860258e-13
 182 7.2405782455e-10 1.0799738377e-13 -4.7866385396e-12 0.0000000000e+00 2.0408874921e-12 -4.1065256599e-13
 183 7.2713959560e-10 1.0653864067e-13 -4.6778500682e-12 0.0000000000e+00 2.0081091452e-12 -4.0541659239e-13
 184 7.3015505198e-10 1.0510692129e-13 -4.5653677072e-12 0.0000000000e+00 1.9760042918e-12 -4.0028438417e-13
 185 7.3310310431e-10 1.0370649865e-13 -4.4492364047e-12 0.0000000000e+00 1.9445538819e-12 -3.9524877409e-13
 186 7.3598278912e-10 1.0234155968e-13 -4.3294793008e-12 0.0000000000e+00 1.9137436406e-12 -3.9030063831e-13
 187 7.3879317581e-10 1.0101635324e-13 -4.2061157207e-12 0.0000000000e+00 1.8835590762e-12 -3.8542988271e-13
 188 7.4153333468e-10 9.9735241715e-14 -4.0791673744e-12 0.0000000000e+00 1.8539837452e-12 -3.8062577509e-13
 189 7.4420233713e-10 9.8502661011e-14 -3.9486590136e-12 0.0000000000e+00 1.8250007449e-12 -3.7587804576e-13
 190 7.4679925590e-10 9.7322995049e-14 -3.8146203933e-12 0.0000000000e+00 1.7965973893e-12 -3.7118030264e-13
 191 7.4932316487e-10 9.6200693926e-14 -3.6770845236e-12 0.0000000000e+00 1.7687608235e-12 -3.6652685689e-13
