#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
90	0.05	5.1910e+00	8.2555e+00	1.5690e+01	1.1220e+00	5.8244e+00	9.2628e+00	1.7604e+01	3.2692e+01
90	0.10	4.4016e+00	6.9914e+00	1.3240e+01	1.2589e+00	5.5413e+00	8.8016e+00	1.6669e+01	3.1012e+01
90	0.15	3.7244e+00	5.8624e+00	1.1116e+01	1.4125e+00	5.2609e+00	8.2808e+00	1.5702e+01	2.9243e+01
90	0.20	3.1237e+00	4.9865e+00	9.2837e+00	1.5849e+00	4.9508e+00	7.9030e+00	1.4714e+01	2.7568e+01
90	0.25	2.6018e+00	4.2611e+00	7.6825e+00	1.7783e+00	4.6268e+00	7.5774e+00	1.3662e+01	2.5866e+01
90	0.30	2.1622e+00	3.6045e+00	6.3319e+00	1.9953e+00	4.3142e+00	7.1919e+00	1.2634e+01	2.4140e+01
90	0.35	1.7770e+00	3.0227e+00	5.1798e+00	2.2387e+00	3.9783e+00	6.7671e+00	1.1596e+01	2.2341e+01
90	0.40	1.4494e+00	2.5183e+00	4.2154e+00	2.5119e+00	3.6407e+00	6.3256e+00	1.0589e+01	2.0555e+01
90	0.45	1.1781e+00	2.0876e+00	3.4091e+00	2.8184e+00	3.3203e+00	5.8837e+00	9.6082e+00	1.8812e+01
90	0.50	9.4750e-01	1.7087e+00	2.7311e+00	3.1623e+00	2.9962e+00	5.4035e+00	8.6366e+00	1.7036e+01
90	0.55	7.5538e-01	1.3857e+00	2.1666e+00	3.5481e+00	2.6802e+00	4.9167e+00	7.6874e+00	1.5284e+01
90	0.60	5.9569e-01	1.1136e+00	1.7084e+00	3.9811e+00	2.3715e+00	4.4334e+00	6.8012e+00	1.3606e+01
90	0.65	4.6602e-01	8.9121e-01	1.3418e+00	4.4668e+00	2.0816e+00	3.9809e+00	5.9934e+00	1.2056e+01
90	0.70	3.6020e-01	6.9943e-01	1.0464e+00	5.0119e+00	1.8053e+00	3.5055e+00	5.2444e+00	1.0555e+01
90	0.75	2.7662e-01	5.4934e-01	8.0554e-01	5.6234e+00	1.5556e+00	3.0892e+00	4.5299e+00	9.1746e+00
90	0.80	2.1092e-01	4.2320e-01	6.1945e-01	6.3096e+00	1.3308e+00	2.6702e+00	3.9085e+00	7.9095e+00
90	0.85	1.5851e-01	3.2135e-01	4.7221e-01	7.0795e+00	1.1222e+00	2.2750e+00	3.3430e+00	6.7402e+00
90	0.90	1.1991e-01	2.3975e-01	3.6344e-01	7.9433e+00	9.5246e-01	1.9044e+00	2.8869e+00	5.7438e+00
90	0.95	8.8441e-02	1.7808e-01	2.7978e-01	8.9125e+00	7.8823e-01	1.5871e+00	2.4936e+00	4.8689e+00
90	1.00	6.5761e-02	1.2917e-01	2.1541e-01	1.0000e+01	6.5761e-01	1.2917e+00	2.1541e+00	4.1034e+00
90	1.05	4.8917e-02	9.2129e-02	1.6628e-01	1.1220e+01	5.4886e-01	1.0337e+00	1.8657e+00	3.4483e+00
90	1.10	3.5769e-02	6.4549e-02	1.2712e-01	1.2589e+01	4.5030e-01	8.1263e-01	1.6004e+00	2.8633e+00
90	1.15	2.6249e-02	4.4471e-02	9.5697e-02	1.4125e+01	3.7078e-01	6.2817e-01	1.3518e+00	2.3507e+00
90	1.20	1.9456e-02	3.0084e-02	7.0122e-02	1.5849e+01	3.0836e-01	4.7680e-01	1.1114e+00	1.8965e+00
90	1.25	1.4408e-02	1.9999e-02	5.0821e-02	1.7783e+01	2.5621e-01	3.5564e-01	9.0374e-01	1.5156e+00
90	1.30	1.0727e-02	1.2854e-02	3.6548e-02	1.9953e+01	2.1404e-01	2.5646e-01	7.2923e-01	1.1997e+00
90	1.35	8.0911e-03	8.1358e-03	2.5740e-02	2.2387e+01	1.8114e-01	1.8214e-01	5.7624e-01	9.3952e-01
90	1.40	6.0843e-03	4.8961e-03	1.7663e-02	2.5119e+01	1.5283e-01	1.2298e-01	4.4367e-01	7.1949e-01
90	1.45	4.4612e-03	3.0067e-03	1.2049e-02	2.8184e+01	1.2574e-01	8.4741e-02	3.3958e-01	5.5006e-01
90	1.50	3.2958e-03	1.6694e-03	7.6636e-03	3.1623e+01	1.0422e-01	5.2790e-02	2.4234e-01	3.9936e-01
90	1.55	2.3707e-03	9.7156e-04	4.9385e-03	3.5481e+01	8.4116e-02	3.4472e-02	1.7522e-01	2.9381e-01
90	1.60	1.5190e-03	5.1129e-04	2.7652e-03	3.9811e+01	6.0474e-02	2.0355e-02	1.1008e-01	1.9091e-01
90	1.65	9.2578e-04	2.3285e-04	1.4359e-03	4.4668e+01	4.1353e-02	1.0401e-02	6.4138e-02	1.1589e-01
90	1.70	4.5178e-04	1.0697e-04	5.8977e-04	5.0119e+01	2.2643e-02	5.3611e-03	2.9558e-02	5.7562e-02
90	1.75	1.5572e-04	5.0528e-05	1.7415e-04	5.6234e+01	8.7566e-03	2.8414e-03	9.7932e-03	2.1391e-02
90	1.80	3.2004e-05	2.6623e-05	2.5208e-05	6.3096e+01	2.0193e-03	1.6798e-03	1.5905e-03	5.2897e-03
90	1.85	3.0292e-06	1.5903e-05	1.2622e-06	7.0795e+01	2.1445e-04	1.1259e-03	8.9354e-05	1.4297e-03
90	1.90	2.2497e-07	1.0799e-05	0.0000e+00	7.9433e+01	1.7870e-05	8.5779e-04	0.0000e+00	8.7566e-04
90	1.95	0.0000e+00	3.4087e-06	0.0000e+00	8.9125e+01	0.0000e+00	3.0380e-04	0.0000e+00	3.0380e-04
