#mDM	Log[E,10]	dN/dE (e+ e-)	dN/dE (gammas)	dNdE (others)	E [GeV]	E.dN/dE (e+ e-)	E.dN/dE (gammas)	E.dNdE (others)	E.dN/dE (all)
50	0.80	6.6574e-02	7.2680e-03	1.4415e-01	6.3096e+00	4.2005e-01	4.5858e-02	9.0952e-01	1.3754e+00
50	0.85	6.5728e-02	6.9482e-03	1.4256e-01	7.0795e+00	4.6532e-01	4.9190e-02	1.0093e+00	1.5238e+00
50	0.90	6.5236e-02	6.0335e-03	1.4064e-01	7.9433e+00	5.1819e-01	4.7926e-02	1.1171e+00	1.6833e+00
50	0.95	6.4054e-02	5.3156e-03	1.3801e-01	8.9125e+00	5.7088e-01	4.7375e-02	1.2300e+00	1.8483e+00
50	1.00	6.2895e-02	5.9018e-03	1.3513e-01	1.0000e+01	6.2895e-01	5.9018e-02	1.3513e+00	2.0393e+00
50	1.05	6.1569e-02	3.9063e-03	1.3168e-01	1.1220e+01	6.9082e-01	4.3829e-02	1.4775e+00	2.2122e+00
50	1.10	6.0274e-02	3.0799e-03	1.2759e-01	1.2589e+01	7.5880e-01	3.8773e-02	1.6063e+00	2.4039e+00
50	1.15	5.8188e-02	3.2457e-03	1.2271e-01	1.4125e+01	8.2193e-01	4.5847e-02	1.7334e+00	2.6011e+00
50	1.20	5.6135e-02	2.8476e-03	1.1704e-01	1.5849e+01	8.8967e-01	4.5131e-02	1.8550e+00	2.7898e+00
50	1.25	5.3619e-02	2.3442e-03	1.0998e-01	1.7783e+01	9.5349e-01	4.1686e-02	1.9558e+00	2.9510e+00
50	1.30	5.0480e-02	1.9574e-03	1.0171e-01	1.9953e+01	1.0072e+00	3.9056e-02	2.0294e+00	3.0757e+00
50	1.35	4.6740e-02	1.5507e-03	9.1788e-02	2.2387e+01	1.0464e+00	3.4716e-02	2.0549e+00	3.1360e+00
50	1.40	4.2290e-02	1.5801e-03	8.1078e-02	2.5119e+01	1.0623e+00	3.9689e-02	2.0366e+00	3.1386e+00
50	1.45	3.7236e-02	1.2401e-03	6.8639e-02	2.8184e+01	1.0495e+00	3.4951e-02	1.9345e+00	3.0189e+00
50	1.50	3.1058e-02	8.0964e-04	5.4671e-02	3.1623e+01	9.8214e-01	2.5603e-02	1.7289e+00	2.7366e+00
50	1.55	2.4150e-02	6.9714e-04	3.9910e-02	3.5481e+01	8.5686e-01	2.4735e-02	1.4161e+00	2.2977e+00
50	1.60	1.6545e-02	8.1754e-04	2.4873e-02	3.9811e+01	6.5865e-01	3.2547e-02	9.9023e-01	1.6814e+00
50	1.65	8.2860e-03	6.0234e-04	1.0747e-02	4.4668e+01	3.7012e-01	2.6905e-02	4.8003e-01	8.7706e-01
50	1.70	9.6850e-04	1.3854e-04	1.0602e-03	5.0119e+01	4.8540e-02	6.9433e-03	5.3136e-02	1.0862e-01
