#m_DM	E	dN/dE (electrons)	dN/dE (photons)	dN/dE (others)
8.00e+01	3.162e-01	2.3292e-03	9.2496e-03	5.1678e-03
8.00e+01	3.548e-01	2.3221e-03	7.8733e-03	5.2065e-03
8.00e+01	3.981e-01	2.3545e-03	7.6497e-03	5.1364e-03
8.00e+01	4.467e-01	2.3958e-03	6.9879e-03	5.0690e-03
8.00e+01	5.012e-01	2.3269e-03	6.0521e-03	5.0428e-03
8.00e+01	5.623e-01	2.3030e-03	4.9361e-03	4.9519e-03
8.00e+01	6.310e-01	2.2784e-03	5.0008e-03	4.9695e-03
8.00e+01	7.079e-01	2.3008e-03	4.7287e-03	4.9896e-03
8.00e+01	7.943e-01	2.2639e-03	4.1218e-03	4.9399e-03
8.00e+01	8.913e-01	2.3091e-03	3.6576e-03	4.9155e-03
8.00e+01	1.000e+00	2.2422e-03	2.9841e-03	4.8935e-03
8.00e+01	1.122e+00	2.2377e-03	2.8011e-03	4.8557e-03
8.00e+01	1.259e+00	2.2367e-03	2.6877e-03	4.8642e-03
8.00e+01	1.413e+00	2.2194e-03	2.3794e-03	4.8636e-03
8.00e+01	1.585e+00	2.2172e-03	1.8984e-03	4.8591e-03
8.00e+01	1.778e+00	2.2154e-03	1.7659e-03	4.8206e-03
8.00e+01	1.995e+00	2.2326e-03	1.4941e-03	4.8014e-03
8.00e+01	2.239e+00	2.1943e-03	1.4242e-03	4.8059e-03
8.00e+01	2.512e+00	2.1862e-03	1.1084e-03	4.7885e-03
8.00e+01	2.818e+00	2.1946e-03	1.1507e-03	4.7737e-03
8.00e+01	3.162e+00	2.1964e-03	8.4923e-04	4.7657e-03
8.00e+01	3.548e+00	2.1742e-03	7.9231e-04	4.7534e-03
8.00e+01	3.981e+00	2.1918e-03	8.2151e-04	4.7238e-03
8.00e+01	4.467e+00	2.1759e-03	6.8039e-04	4.7136e-03
8.00e+01	5.012e+00	2.1703e-03	5.5431e-04	4.6860e-03
8.00e+01	5.623e+00	2.1476e-03	5.1312e-04	4.6729e-03
