# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:gr.fac. D             18:gr.fac. f          
       1.041454356530e+04       6.325943893722e-06       4.137208529255e+01       2.694476814100e+02       1.413223415723e+04       1.356840770588e+00       1.471949005396e+08       2.352348096047e+01       3.238223581327e+04       2.769863302569e+03       1.504868542654e+04       2.235412777903e+04       7.451235362015e+03       3.493499587214e-08       4.714069580567e+01       7.260205301724e+04       3.700059143546e-04       3.456099068413e-01 
       1.034211069326e+04       6.410972933488e-06       4.164267142109e+01       2.659413216029e+02       1.413196357110e+04       1.366316574404e+00       1.461684635291e+08       2.367490581602e+01       3.149080496996e+04       2.712476815510e+03       1.473690426727e+04       2.173875749481e+04       7.246113882466e+03       3.493499587214e-08       4.584298830769e+01       7.072478653590e+04       3.709012634098e-04       3.470513669461e-01 
       1.027018137978e+04       6.497123057132e-06       4.191491860110e+01       2.624817707076e+02       1.413169132392e+04       1.375858414081e+00       1.451491647911e+08       2.382722797004e+01       3.062391185395e+04       2.656279145691e+03       1.443158195984e+04       2.114032599248e+04       7.046638636540e+03       3.493499587214e-08       4.458100180023e+01       6.889667995380e+04       3.718025260717e-04       3.484966021444e-01 
       1.019875212462e+04       6.584408653376e-06       4.218883579338e+01       2.590683930163e+02       1.413141740673e+04       1.385466748022e+00       1.441369547183e+08       2.398045183494e+01       2.978088108068e+04       2.601245667765e+03       1.413258471457e+04       2.055836704390e+04       6.852654215240e+03       3.493499587214e-08       4.335375308687e+01       6.711643226004e+04       3.727097447137e-04       3.499455911061e-01 
       1.012781945191e+04       6.672844288902e-06       4.246443199422e+01       2.557005615408e+02       1.413114181053e+04       1.395142037789e+00       1.431317840481e+08       2.413458183476e+01       2.896105585399e+04       2.547352266442e+03       1.383978151294e+04       1.999242725283e+04       6.664009486848e+03       3.493499587214e-08       4.216028603141e+01       6.538277717228e+04       3.736229620086e-04       3.513983122070e-01 
       1.005737990990e+04       6.762444710445e-06       4.274171623535e+01       2.523776578924e+02       1.413086452629e+04       1.404884748127e+00       1.421336038608e+08       2.428962240511e+01       2.816379745459e+04       2.494575325927e+03       1.355304405018e+04       1.944206570173e+04       6.480557479215e+03       3.493499587214e-08       4.099967081319e+01       6.369448220327e+04       3.745422209310e-04       3.528547435286e-01 
       9.987430070876e+03       6.853224846915e-06       4.302069758401e+01       2.490990721634e+02       1.413058554494e+04       1.414695346984e+00       1.411423655762e+08       2.444557799313e+01       2.738848474250e+04       2.442891719574e+03       1.327224667906e+04       1.890685360831e+04       6.302155265276e+03       3.493499587214e-08       3.987100320279e+01       6.205034775268e+04       3.754675647593e-04       3.543148628588e-01 
       9.917966530926e+03       6.945199811531e-06       4.330138514293e+01       2.458642028101e+02       1.413030485738e+04       1.424574305531e+00       1.401580209522e+08       2.460245305733e+01       2.663451367331e+04       2.392278799753e+03       1.299726635487e+04       1.838637399163e+04       6.128663851729e+03       3.493499587214e-08       3.877340385777e+01       6.044920622345e+04       3.763990370778e-04       3.557786476929e-01 
       9.848985909806e+03       7.038384903991e-06       4.358378805040e+01       2.426724565375e+02       1.413002245448e+04       1.434522098190e+00       1.391805220818e+08       2.476025206760e+01       2.590129682763e+04       2.342714387931e+03       1.272798258149e+04       1.788022134720e+04       5.959948070769e+03       3.493499587214e-08       3.770601763771e+01       5.888992116193e+04       3.773366817791e-04       3.572460752338e-01 
       9.780484850768e+03       7.132795612656e-06       4.386791548024e+01       2.395232481856e+02       1.412973832705e+04       1.444539202648e+00       1.382098213913e+08       2.491897950504e+01       2.518826295357e+04       2.294176764957e+03       1.246427735863e+04       1.738800133124e+04       5.795876474805e+03       3.493499587214e-08       3.666801293816e+01       5.737138642137e+04       3.782805430655e-04       3.587171223927e-01 
