z	chi_Mpc	D_M_Mpc	D_A_Mpc	H_1perMpc
1.7800	4961.221013813	4960.052718054	1784.191625199	2.206861209263e-04
1.7900	4977.484952045	4976.305129360	1783.621910165	2.209716691577e-04
1.8000	4993.669746764	4992.478378230	1783.027992225	2.212576410211e-04
1.8100	5009.775985851	5008.573052978	1782.410339138	2.215440235901e-04
1.8200	5025.804251868	5024.589736595	1781.769410140	2.218308043149e-04
1.8300	5041.755122108	5040.529006793	1781.105656111	2.221179708206e-04
1.8400	5057.629168634	5056.391436056	1780.419519738	2.224055110889e-04
1.8500	5073.426958331	5072.177591679	1779.711435677	2.226934132527e-04
1.8600	5089.149052956	5087.888035825	1778.981830708	2.229816656937e-04
1.8700	5104.796009175	5103.523325565	1778.231123890	2.232702570625e-04
1.8800	5120.368378615	5119.084012920	1777.459726708	2.235591762807e-04
1.8900	5135.866707908	5134.570644916	1776.668043224	2.238484123783e-04
1.9000	5151.291538740	5149.983763624	1775.856470215	2.241379546955e-04
1.9100	5166.643407892	5165.323906210	1775.025397323	2.244277927508e-04
1.9200	5181.922847284	5180.591604970	1774.175207181	2.247179163354e-04
1.9300	5197.130384027	5195.787387386	1773.306275559	2.250083153417e-04
1.9400	5212.266540462	5210.911776170	1772.418971486	2.252989799493e-04
1.9500	5227.331834209	5225.965289304	1771.513657391	2.255899004759e-04
1.9600	5242.326778202	5240.948440080	1770.590689216	2.258810675443e-04
1.9700	5257.251880743	5255.861737155	1769.650416551	2.261724718153e-04
1.9800	5272.107645544	5270.705684591	1768.693182749	2.264641042202e-04
1.9900	5286.894571768	5285.480781897	1767.719325049	2.267559558434e-04
2.0000	5301.613154070	5300.187524066	1766.729174689	2.270480180593e-04
2.0100	5316.263882643	5314.826401629	1765.723057020	2.273402822420e-04
2.0200	5330.847243263	5329.397900695	1764.701291621	2.276327400238e-04
2.0300	5345.363717331	5343.902502992	1763.664192406	2.279253831816e-04
2.0400	5359.813781904	5358.340685900	1762.612067730	2.282182037565e-04
2.0500	5374.197909752	5372.712922509	1761.545220495	2.285111937947e-04
2.0600	5388.516569392	5387.019681652	1760.463948252	2.288043455865e-04
2.0700	5402.770225131	5401.261427946	1759.368543305	2.290976515361e-04
2.0800	5416.959337102	5415.438621832	1758.259292802	2.293911043071e-04
2.0900	5431.084361311	5429.551719618	1757.136478841	2.296846965670e-04
2.1000	5445.145749675	5443.601173521	1756.000378555	2.299784211908e-04
2.1100	5459.143950062	5457.587431704	1754.851264214	2.302722711707e-04
2.1200	5473.079406328	5471.510938315	1753.689403306	2.305662397627e-04
2.1300	5486.952558357	5485.372133526	1752.515058634	2.308603201691e-04
2.1400	5500.763842106	5499.171453575	1751.328488400	2.311545058181e-04
2.1500	5514.513689638	5512.909330809	1750.129946289	2.314487901496e-04
2.1600	5528.202529161	5526.586193710	1748.919681554	2.317431671948e-04
2.1700	5541.830785060	5540.202466935	1747.697939096	2.320376304722e-04
2.1800	5555.398877947	5553.758571367	1746.464959549	2.323321739396e-04
2.1900	5568.907224695	5567.254924143	1745.220979355	2.326267916619e-04
2.2000	5582.356238469	5580.691938691	1743.966230841	2.329214776192e-04
2.2100	5595.746328771	5594.070024771	1742.700942296	2.332162266424e-04
2.2200	5609.077901454	5607.389588491	1741.425338041	2.335110327364e-04
2.2300	5622.351358789	5620.651032374	1740.139638506	2.338058904361e-04
2.2400	5635.567099487	5633.854755379	1738.844060302	2.341007943677e-04
2.2500	5648.725518732	5647.001152936	1737.538816288	2.343957391990e-04
2.2600	5661.827008228	5660.090616988	1736.224115641	2.346907198524e-04
2.2700	5674.871956200	5673.123536002	1734.900163915	2.349857313675e-04
2.2800	5687.860747469	5686.100295032	1733.567163119	2.352807686197e-04
2.2900	5700.793763471	5699.021275745	1732.225311777	2.355758267498e-04
2.3000	5713.671382285	5711.886856452	1730.874804985	2.358709009787e-04
2.3100	5726.493978680	5724.697412145	1729.515834485	2.361659865036e-04
2.3200	5739.261924123	5737.453314514	1728.148588709	2.364610791428e-04
2.3300	5751.975586831	5750.154931998	1726.773252852	2.367561741112e-04
2.3400	5764.635331809	5762.802629817	1725.390008927	2.370512669912e-04
2.3500	5777.241520869	5775.396769996	1723.999035820	2.373463534859e-04
2.3600	5789.794512671	5787.937711408	1722.600509348	2.376414291536e-04
2.3700	5802.294662747	5800.425809791	1721.194602312	2.379364904826e-04
2.3800	5814.742323523	5812.861417778	1719.781484550	2.382315328951e-04
2.3900	5827.137844376	5825.244884947	1718.361322993	2.385265524909e-04
2.4000	5839.481571649	5837.576557839	1716.934281717	2.388215453580e-04
2.4100	5851.773848681	5849.856779993	1715.500521992	2.391165076951e-04
2.4200	5864.015015848	5862.085891978	1714.060202333	2.394114355624e-04
2.4300	5876.205410565	5874.264231400	1712.613478542	2.397063257281e-04
2.4400	5888.345367343	5886.392132958	1711.160503767	2.400011742672e-04
2.4500	5900.435217812	5898.469928470	1709.701428542	2.402959776965e-04
2.4600	5912.475290748	5910.497946894	1708.236400836	2.405907325120e-04
2.4700	5924.465912102	5922.476514362	1706.765566099	2.408854351373e-04
2.4800	5936.407405027	5934.405954207	1705.289067301	2.411800828605e-04
2.4900	5948.300089891	5946.286586971	1703.807044977	2.414746719625e-04
2.5000	5960.144284334	5958.118730469	1702.319637277	2.417691992970e-04
2.5100	5971.940303281	5969.902699796	1700.826979999	2.420636617113e-04
2.5200	5983.688458965	5981.638807357	1699.329206635	2.423580561994e-04
2.5300	5995.389060968	5993.327362895	1697.826448412	2.426523795301e-04
2.5400	6007.042416222	6004.968673511	1696.318834325	2.429466292883e-04
2.5500	6018.648829055	6016.563043690	1694.806491180	2.432408021865e-04
2.5600	6030.208601216	6028.110775345	1693.289543636	2.435348954734e-04
